idHistory,Code,Description,Duration,userId,OperatorComment,BegindateTime,IdPrevious,EndDateTime,Pieces,Rejections
1657115,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1073.564,siderca\60062291,"CPT,CPA,GSR,GA15,GA12,GFC,GDS",2025-04-03 21:09:53.3764840 -03:00,1657050,2025-04-03 19:56:50.7125976 -03:00,10,0
1657176,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,419.202,siderca\60062291,"GA15,GA12",2025-04-03 22:38:34.4193971 -03:00,1657115,2025-04-03 21:27:46.9405374 -03:00,10,0
1657285,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1154.826,siderca\60062291,"CPT,CPA,CA15,GA12,GFC,CDS,GDS",2025-04-04 01:16:47.5301617 -03:00,1657176,2025-04-03 22:45:33.6214123 -03:00,10,0
1657346,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,613.006,siderca\60062291,"GSR,GA15,CA12",2025-04-04 02:48:28.2108753 -03:00,1657285,2025-04-04 01:36:02.3563205 -03:00,9,0
1657442,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,900,siderca\60062291,"CPA,GA15,GA12,CFC,GFC,GDS",2025-04-04 04:33:26.4037929 -03:00,1657346,2025-04-04 02:58:41.2164307 -03:00,10,0
1657561,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,776.072,siderca\12985,"CPT,GSR,CDT",2025-04-04 07:22:49.9448160 -03:00,1657442,2025-04-04 04:48:26.4037929 -03:00,12,4
1657634,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,596.349,siderca\12985,"CPA,CA15,GA15,CDS,GDS,CDT",2025-04-04 09:22:15.4114080 -03:00,1657561,2025-04-04 07:35:46.0166669 -03:00,11,0
1657696,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,240.739,siderca\12985,"CA15,GA15,CDT",2025-04-04 10:39:29.1119474 -03:00,1657689,2025-04-04 11:00:45.9528363 -03:00,0,0
1657689,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,193,siderca\12985,CPA,2025-04-04 10:57:32.9528363 -03:00,1657634,2025-04-04 09:32:11.7600698 -03:00,11,0
1657766,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1200.086,siderca\13035,"CPT,CPA,CSR,CA15,CFC,GDS",2025-04-04 13:18:38.6083131 -03:00,1657696,2025-04-04 10:43:29.8506435 -03:00,11,0
